id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus
,biziura-lobata-menziesi,Musk Duck,Biziura lobata menziesi,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,malacorhynchus-membranaceus,Pink-eared Duck,Malacorhynchus membranaceus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,dendrocygna-eytoni,Plumed Whistling-Duck,Dendrocygna eytoni,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,dendrocygna-guttata,Spotted Whistling-Duck,Dendrocygna guttata,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,dendrocygna-arcuata-australis,Torresian Wandering Whistling-Duck,Dendrocygna arcuata australis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,elanus-scriptus,Letter-winged Kite,Elanus scriptus,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,dromaius-baudinianus,Kangaroo Island Emu,Dromaius baudinianus,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,dromaius-minor,King Island Emu,Dromaius minor,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,fregata-ariel-ariel,Indo-Pacific Lesser Frigatebird,Fregata ariel ariel,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,sula-sula-rubripes,Indo-Pacific Red-footed Booby,Sula sula rubripes,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,anous-minutus-minutus,Indo-Pacific Black Noddy,Anous minutus minutus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,sterna-sumatrana-sumatrana,Black-naped Tern,Sterna sumatrana sumatrana,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,sterna-hirundo-longipennis,Siberian Common Tern,Sterna hirundo longipennis,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,thalasseus-bergii-cristatus,Australasian Crested Tern,Thalasseus bergii cristatus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,thalasseus-bengalensis-torresii,Eastern Lesser Crested Tern,Thalasseus bengalensis torresii,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
